"","X1","X2","value","SigStar"
"674","22","X41",-0.932510272275141,NA
"675","26","X41",-0.756202139741988,NA
"676","35","X41",-0.133871495658475,NA
"677","36","X41",3.53331368656981,NA
"678","37","X41",-2.92292903569556,NA
"679","40","X41",5.86831662692816,"*"
"680","42","X41",4.67183193658412,NA
"681","3","X41",-0.189636840277908,NA
"682","14","X41",0.674670193445774,NA
"683","15","X41",1.05562289304129,NA
"684","18","X41",-2.69936691328168,NA
"685","23","X41",-1.90872054160481,NA
"686","27","X41",0.337469641187439,NA
"687","34","X41",3.57564292127229,NA
"688","38","X41",2.3147620392188,NA
"689","41","X41",NA,NA
"690","1","X41",-2.21795168405115,NA
"691","12","X41",-0.356246467037844,NA
"692","28","X41",-1.29329691913399,NA
"693","29","X41",0.619965447190213,NA
"694","30","X41",0.863430670000296,NA
"695","31","X41",-1.28048846161206,NA
"696","32","X41",0.110312201202471,NA
"697","39","X41",-2.99776691589224,NA
"698","2","X41",-2.55751736068363,NA
"699","6","X41",-0.421928536315378,NA
"700","8","X41",-0.964944259212315,NA
"701","13","X41",-0.100338231082279,NA
"702","4","X41",-3.67160420702877,NA
"703","5","X41",-1.29058533829031,NA
"704","17","X41",-1.37840970248265,NA
